年度,月份,捷運站別,平均日運量
112,8,A1   台北車站,21983
112,8,A2   三重站,4115
112,8,A3   新北產業園區站,6328
112,8,A4   新莊副都心站,2734
112,8,A5   泰山站,1616
112,8,A6   泰山貴和站,2185
112,8,A7   體育大學站,4399
112,8,A8   長庚醫院站,8420
112,8,A9   林口站,5254
112,8,A10  山鼻站,2219
112,8,A11  坑口站,990
112,8,A12  機場第一航廈站,9895
112,8,A13  機場第二航廈站,8098
112,8,A14a 機場旅館站,1259
112,8,A15  大園站,1818
112,8,A16  橫山站,352
112,8,A17  領航站,1072
112,8,A18  高鐵桃園站,10202
112,8,A19  桃園體育園區站,2562
112,8,A20  興南站,236
112,8,A21  環北站,2354
112,8,A22  老街溪站,2483
